Unnamed: 0,cafe_id,cafe,address,addrbunho,image_url
49,1549929774,카페무스비,제주특별자치도 제주시 한림읍 귀덕리,1364-1,http://t1.daumcdn.net/localfiy/FE1E6A4D46904EF2A16A42A8F1C6DC5B
50,1884615180,한라궁카페,제주특별자치도 서귀포시 토평동,581-1,
51,176233189,수제꽃차제주고팡,제주특별자치도 제주시 도두일동,2619-15,http://t1.daumcdn.net/localfiy/7A6BCBE2DBD34E7B9D4AA2660B17BDEC
52,1788938617,반지마을 제주1호점,제주특별자치도 제주시 용담이동,2761-1,
53,622410128,조선드립480,제주특별자치도 서귀포시 표선면 성읍리,987,
54,224781021,예당,제주특별자치도 제주시 오라이동,1204-1,http://t1.daumcdn.net/place/2300B5EA66014456A5DA7147D209CDC3
55,1954151604,위미로와,제주특별자치도 서귀포시 남원읍 위미리,171-5,
56,1955021614,제주오리엔탈호텔 르시엘,제주특별자치도 제주시 삼도이동,1197,
57,27335460,에어그라운드,제주특별자치도 서귀포시 남원읍 태흥리,1145-1,
58,761104985,우드노트,제주특별자치도 서귀포시 남원읍 남원리,2406-3,http://t1.daumcdn.net/place/D71483D608474E4A89740D5E895ED133
59,1561006804,이디야커피 서귀포동홍점,제주특별자치도 서귀포시 동홍동,473-1,http://t1.daumcdn.net/localfiy/C3DE992889314605B803D28CBFDF2A35
60,1307831887,공차 제주한라대점,제주특별자치도 제주시 노형동,3813-5,
61,650335330,홍콩,제주특별자치도 제주시 노형동,3813-6,
62,1146640630,니모메,제주특별자치도 제주시 외도이동,341-2,http://t1.daumcdn.net/place/88459531E1A14639A675BC14586F0E5B
63,1191128222,베케,제주특별자치도 서귀포시 신효동,1137-1,http://t1.daumcdn.net/localfiy/EAA0AD37F7324BCCAA54A9D84A569C0E
64,1772131994,갤러리앤카페더몹시,제주특별자치도 제주시 외도이동,319-1,http://t1.daumcdn.net/localfiy/36F9617EA9054AA7A5900A2DD5F695A3
65,881686777,아인당구카페,제주특별자치도 제주시 외도일동,476-1,http://t1.daumcdn.net/localfiy/8314713C2D404977B7C9437E8B4B4536
66,1982450009,꽃이다,제주특별자치도 서귀포시 서호동,615,http://t1.daumcdn.net/localfiy/4E601746337047A0962A92C4BC9B5C3C
67,26320023,카페지니,제주특별자치도 서귀포시 남원읍 신례리,85-3,http://t1.daumcdn.net/place/F90A5536FB98458AB3559143F47824B3
68,955911892,건축카페,제주특별자치도 제주시 이도2동,1953-8,
69,534835771,자현사주카페,제주특별자치도 제주시 노형동,1288-5,http://t1.daumcdn.net/localfiy/51F86D53C6D94640ACF884475FFBA416
70,25130846,브런치노,제주특별자치도 제주시 애월읍 하귀2리,2675-3,
71,562394462,해비치바람의집 펜션&카페,제주특별자치도 서귀포시 표선면 표선리,1192,http://t1.daumcdn.net/cfile/2579E13F571DE8F213
72,26885582,플레이커피랩,제주특별자치도 서귀포시 서귀동,305-15,http://t1.daumcdn.net/place/CE9BA681757D4EC28851171DDE86EC9C
73,140584160,더오라,제주특별자치도 제주시 오라삼동,2267-1,
74,15584742,아띠마루커피랩,제주특별자치도 제주시 용담1동,2827-3,
75,9564207,패션다방,제주특별자치도 제주시 한림읍 한림리,1314-3,
76,1501515694,몰마농,제주특별자치도 서귀포시 성산읍 고성리,594-3,http://t1.daumcdn.net/localfiy/6E5D526BB56A48849677FF536C01E57D
77,2050296905,표선소담,제주특별자치도 서귀포시 표선면 토산리,439-5,
78,26834722,아로하,제주특별자치도 서귀포시 동홍동,645-1,
79,27125450,앙카페앤바,제주특별자치도 서귀포시 대정읍 하모리,1052-3,http://t1.daumcdn.net/place/1F4C6784616C42378AD2153B1E05FB5F
80,903911822,안녕세화씨,제주특별자치도 제주시 구좌읍 세화리,3644-2,http://t1.daumcdn.net/place/F8F26970AD2F423BAE669AD9D9438936
81,1244354127,커피의하루,제주특별자치도 서귀포시 동홍동,1312,
82,587086951,피디에스PC카페 제주외도점,제주특별자치도 제주시 외도일동,637-12,http://t1.daumcdn.net/localfiy/876290FFE76C439F85F816B53A6903AF
83,697235821,놀숲 서귀포신시가지점,제주특별자치도 서귀포시 강정동,208-1,http://t1.daumcdn.net/place/2AF0AB86520E457EAE278FDC97ABC5CA
84,613506337,해마루카페,제주특별자치도 제주시 노형동,2578-3,
85,15689205,모퉁이옆커피집,제주특별자치도 제주시 연동,311-1,http://t1.daumcdn.net/place/3222E66C9BDF4F948D03DC2BAA755945
86,1797467444,카페글렌코,제주특별자치도 제주시 구좌읍 송당리,2635-8,http://t1.daumcdn.net/place/9D6C2E2A0C124BFAB6658566594ED682
87,1610713371,etc,제주특별자치도 서귀포시 안덕면 화순리,1056-1,
88,26872633,쿠잉,제주특별자치도 제주시 노형동,1027-1,http://t1.daumcdn.net/localfiy/9AA5FC0649894658B873FCB2FF559FAC
89,1191127342,카페더불어,제주특별자치도 서귀포시 하효동,152,
90,1980286350,토투가커피,제주특별자치도 제주시 한림읍 귀덕리,3020-2,http://t1.daumcdn.net/place/046662409F2C4BB8AA745C5009A645C5
91,1131993961,오늘의바다,제주특별자치도 서귀포시 법환동,131,http://t1.daumcdn.net/place/A800813D00A347588993BD86AF48BA5C
92,24973813,제주무이,제주특별자치도 제주시 애월읍 수산리,965-1,http://t1.daumcdn.net/localfiy/F3528046E22347E2AEA4928B6DCDC0C7
93,727768810,헬렌앤마리,제주특별자치도 제주시 이도일동,1380,http://t1.daumcdn.net/localfiy/E751E26A58114E4FBAB79A250BB9D38D
94,26890243,동홍동제이제이하우스,제주특별자치도 서귀포시 동홍동,643-4,http://t1.daumcdn.net/cfile/2530B74D55CB01022E
95,17653387,유리다방,제주특별자치도 제주시 한림읍 한림리,1314-79,
96,1054808227,오도록커피,제주특별자치도 제주시 삼양이동,2181-30,
97,1247098851,감성커피,제주특별자치도 제주시 화북일동,1984-10,
98,1016652171,홍쓰팜,제주특별자치도 제주시 애월읍 고내리,415,http://t1.daumcdn.net/localfiy/5C3BCB38C3794ACD92BDFE3A0CC69C3A
99,23372722,에린,제주특별자치도 제주시 도남동,746-3,http://t1.daumcdn.net/place/5B2AC6CE2E7A48DDB35C6A8DE3FE3A7B
100,8797849,금호다방,제주특별자치도 제주시 용담1동,145-1,
101,10267331,다소니,제주특별자치도 제주시 오라일동,995-15,http://t1.daumcdn.net/place/88A2BB0A829144CEA0924EBE41EA80E5
102,1456765484,카페두가시,제주특별자치도 서귀포시 안덕면 창천리,870-1,http://t1.daumcdn.net/place/14AB3F5C2DFF477FADCFB0F006A07292
103,1849446475,달콤한상점,제주특별자치도 서귀포시 서호동,1476-3,http://t1.daumcdn.net/place/E0E6E69C660941C195A557BB52021D85
104,27608319,탐앤탐스 제주아라점,제주특별자치도 제주시 아라일동,2338-4,http://t1.daumcdn.net/place/8E2A1D049D3E4A4EA237C5E63DFF66B4
