,final_address,addrbunho,address,cafe,cafe_id,image_url,franchise,si,town,ri,lat,lng
342,제주특별자치도 서귀포시 대정읍 하모리 646-20,646-20,제주특별자치도 서귀포시 대정읍 하모리,M1971,1011859675,http://t1.daumcdn.net/place/9A6B07A636A24D10A27259FCC681F8EB,0.0,서귀포시,대정읍,하모리,33.210544895163935,126.257604226276
343,제주특별자치도 제주시 외도일동 550-4,550-4,제주특별자치도 제주시 외도일동,위즈커피,1799037921,,0.0,제주시,제주시,외도일동,33.487507447736235,126.43212832243799
344,제주특별자치도 제주시 연동 1961-5,1961-5,제주특별자치도 제주시 연동,칸타빌레,9076865,,0.0,제주시,제주시,연동,33.491080258990785,126.48382358519336
345,제주특별자치도 제주시 애월읍 소길리 650-1,650-1,제주특별자치도 제주시 애월읍 소길리,모랑모랑,27545188,http://t1.daumcdn.net/place/D8C9223F9541467AAA59EF7C92031263,0.0,제주시,애월읍,소길리,33.44006081513791,126.3799150082208
346,제주특별자치도 제주시 구좌읍 평대리 687,687,제주특별자치도 제주시 구좌읍 평대리,루코도모,2021835685,,0.0,제주시,구좌읍,평대리,33.53025763474103,126.84232144635929
347,제주특별자치도 제주시 노형동 2579-1,2579-1,제주특별자치도 제주시 노형동,우주라이크앤 제주노형점,775745381,,0.0,제주시,제주시,노형동,33.48997695240512,126.47444290141176
348,제주특별자치도 제주시 월평동 747,747,제주특별자치도 제주시 월평동,커피밸런스,413368800,http://t1.daumcdn.net/localfiy/DF223E3A22984FD7828FF149117D88E0,0.0,제주시,제주시,월평동,33.45048396098663,126.57630672135441
349,제주특별자치도 제주시 조천읍 함덕리 2255,2255,제주특별자치도 제주시 조천읍 함덕리,농업회사법인한스,1044133186,http://t1.daumcdn.net/localfiy/1A6D33F69956415C91B7FE77104E042E,0.0,제주시,조천읍,함덕리,33.52654901425911,126.66029377179376
350,제주특별자치도 제주시 구좌읍 하도리 3075,3075,제주특별자치도 제주시 구좌읍 하도리,W3075,1347414054,http://t1.daumcdn.net/place/AD4EDE9513A64D6A957B26D5DC924D97,0.0,제주시,구좌읍,하도리,33.52917044904891,126.87571292041685
351,제주특별자치도 서귀포시 성산읍 성산리 158-2,158-2,제주특별자치도 서귀포시 성산읍 성산리,림벅와플 제주점,27094314,http://t1.daumcdn.net/place/38FAE8F7110A4E9AA2C1BA03C89B60DB,0.0,서귀포시,성산읍,성산리,33.462467840447644,126.93441665943442
352,제주특별자치도 제주시 한경면 신창리 1371-3,1371-3,제주특별자치도 제주시 한경면 신창리,차차신창,639029672,http://t1.daumcdn.net/place/A9BCAF4C2D59467482FB4567FDA6E03A,0.0,제주시,한경면,신창리,33.340694927400236,126.17277738204244
353,제주특별자치도 제주시 애월읍 애월리 2477,2477,제주특별자치도 제주시 애월읍 애월리,썬셋클리프,611667902,http://t1.daumcdn.net/place/99EEE4C723274F2786F1A3BC2690F21F,0.0,제주시,애월읍,애월리,33.46183115623703,126.3107023290234
354,제주특별자치도 서귀포시 표선면 세화리 2162-1,2162-1,제주특별자치도 서귀포시 표선면 세화리,세성로영화인카페,113696011,,0.0,서귀포시,표선면,세화리,33.342213059349646,126.79492293017424
355,제주특별자치도 제주시 아라일동 358-9,358-9,제주특별자치도 제주시 아라일동,브라보유어라이프,1077807233,http://t1.daumcdn.net/localfiy/37B3FEF0860A4A7E97102B39357A5CCC,0.0,제주시,제주시,아라일동,33.45941277192261,126.55854946906109
356,제주특별자치도 제주시 한림읍 협재리 598-1,598-1,제주특별자치도 제주시 한림읍 협재리,네스트힐,21501817,,0.0,제주시,한림읍,협재리,33.37389265682532,126.26161813535104
357,제주특별자치도 서귀포시 성산읍 성산리 126-2,126-2,제주특별자치도 서귀포시 성산읍 성산리,망고홀릭성산일출봉점,1680422322,http://t1.daumcdn.net/place/9FE75978BADF41938D04AAEE371ED6EC,0.0,서귀포시,성산읍,성산리,33.46267365910177,126.93489411675483
358,제주특별자치도 제주시 조천읍 신촌리 2303-1,2303-1,제주특별자치도 제주시 조천읍 신촌리,카페18번가,22284064,,0.0,제주시,조천읍,신촌리,33.53697213861751,126.61726163219471
359,제주특별자치도 제주시 구좌읍 하도리 53-48,53-48,제주특별자치도 제주시 구좌읍 하도리,하도조은펜션&카페,1497607830,,0.0,제주시,구좌읍,하도리,33.51138247517857,126.89381167381326
360,제주특별자치도 제주시 한림읍 한림리 1055,1055,제주특별자치도 제주시 한림읍 한림리,황우럭만화카페,159833969,,0.0,제주시,한림읍,한림리,33.414295667855676,126.26664315075388
361,제주특별자치도 제주시 조천읍 함덕리 963-1,963-1,제주특별자치도 제주시 조천읍 함덕리,현다방,21513011,,0.0,제주시,조천읍,함덕리,33.54081066206042,126.66904078879088
362,제주특별자치도 제주시 한림읍 협재리 1398,1398,제주특별자치도 제주시 한림읍 협재리,과달루페,1586281697,,0.0,제주시,한림읍,협재리,33.39995162367604,126.24949227067594
363,제주특별자치도 제주시 구좌읍 김녕리 1223-20,1223-20,제주특별자치도 제주시 구좌읍 김녕리,쪼끌락,26532312,http://t1.daumcdn.net/place/5806758ECDDB4AE58B38C84C9329D72E,0.0,제주시,구좌읍,김녕리,33.557852761585664,126.75521208860121
364,제주특별자치도 제주시 구좌읍 동복리 827,827,제주특별자치도 제주시 구좌읍 동복리,까페드메종,21513135,,0.0,제주시,구좌읍,동복리,33.552130272740364,126.71670439867762
365,제주특별자치도 제주시 조천읍 함덕리 2887-10,2887-10,제주특별자치도 제주시 조천읍 함덕리,노리파크 제주함덕점,734958063,,0.0,제주시,조천읍,함덕리,33.54278480251173,126.6615739705678
366,제주특별자치도 제주시 오라이동 1204-1,1204-1,제주특별자치도 제주시 오라이동,예당뜰카페,1909855412,,0.0,제주시,제주시,오라이동,33.492638076938036,126.5113657238694
367,제주특별자치도 서귀포시 서귀동 648-13,648-13,제주특별자치도 서귀포시 서귀동,소담,9131916,http://t1.daumcdn.net/place/10A31DF519C140F592662B32228BC91C,0.0,서귀포시,서귀포시,서귀동,33.242760033652054,126.56213096282086
368,제주특별자치도 제주시 연동 274-35,274-35,제주특별자치도 제주시 연동,지인,10081492,,0.0,제주시,제주시,연동,33.4846625061152,126.49118247837087
369,제주특별자치도 제주시 일도2동 149-21,149-21,제주특별자치도 제주시 일도2동,마로네,190369119,http://t1.daumcdn.net/localfiy/E8DC6435FF6D4C4DAB7BBCB145DA62FE,0.0,제주시,제주시,일도2동,33.512184263650326,126.53952816514514
370,제주특별자치도 제주시 이도이동 2021-10,2021-10,제주특별자치도 제주시 이도이동,주르르커피,1648639350,http://t1.daumcdn.net/place/ED1728CC84774E88BF7D9DBED8A66030,0.0,제주시,제주시,이도이동,33.48666883514439,126.5374983544706
